eval_dataset,codec,param,pipeline,bpp,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,time_ms
kodak,HEVC,crf=35,end_to_end,0.5437020195855035,32.43714396158854,0.947705939412117,0.9691276823480924,0.1213879399001598,0.06803639978170391,0.9802435288826624,0.02718709036707874,0.5423446968197823,0.8906426231066386,0.9582148169477781,0.23808068223297593,47.57963732575603,87.31897641670609
kodak,HEVC,crf=25,end_to_end,1.5046751234266493,38.63083267211914,0.9846451903382937,0.9912707880139351,0.027412022308756865,0.01740323255459463,0.9966489473978678,0.004443784952551704,0.7687356645862261,0.9777837370832761,0.9945694183309873,0.1536154219259818,79.61461539448399,117.61145445840764
kodak,HEVC,crf=15,end_to_end,3.477572970920139,44.51491737365723,0.9954931661486626,0.9976211016376814,0.0033690927521092292,0.002646307150522825,0.9994400069117546,0.0007270482092280417,0.9335503255327543,0.9962414925297102,0.9990852400660515,0.10024169646203514,91.40281293844463,161.0788864998843
kodak,JPEG,q=10,end_to_end,0.3265889485677083,26.671799182891846,0.8419321576754252,0.8942421103517214,0.3231460725267728,0.17109085867802298,0.9252815917134285,0.09043022679785884,0.30488562583923334,0.6669030264019966,0.6333228523532549,0.32989254097143805,-17.76521914364176,1.099075749872706
kodak,JPEG,q=30,end_to_end,0.6597925821940104,30.491419633229572,0.9400480712453524,0.9631524135669073,0.14114118802050746,0.06545548141002651,0.9818721935153008,0.023782390480240136,0.46736298874020576,0.8881537318229675,0.9449955175320307,0.2331094145774841,44.741613763653966,1.1220217915403434
kodak,JPEG,q=60,end_to_end,1.0365854899088542,32.907484928766884,0.9675011361638705,0.9806255201498667,0.07507600806032613,0.031623142460981954,0.9927909001708031,0.009431741025764441,0.560981135815382,0.9485401759545008,0.9861831814050674,0.18623995284239447,65.33569369701793,1.2838458332377438
kodak,JPEG,q=85,end_to_end,1.856519063313802,36.46133820215861,0.9842371518413225,0.9910409897565842,0.02523309093279139,0.011120143036047567,0.9977984502911568,0.002632423502897475,0.684118260939916,0.982639399667581,0.9974850416183472,0.1417311330636342,80.07001367151724,1.5598103748667806
kodak,JPEG_AI,target_bpp=0.15,end_to_end,0.15727657741970483,27.84015440940857,0.8945562442143759,0.9396119117736816,0.30827785655856127,0.12873433530330652,0.9507457142074903,0.06279741770898298,0.39960466014842194,0.7642000491420428,0.8794020960728327,0.2910101811091105,16.739723946172948,7271.818177709065
kodak,JPEG_AI,target_bpp=0.25,end_to_end,0.2610304090711805,29.526641686757404,0.9305347030361494,0.9591847707827886,0.2293319109206398,0.0939314688245455,0.9712628722190857,0.03865923779085274,0.46895289048552513,0.8322859779000282,0.9367508068680763,0.2532540460427602,35.34313585239665,7254.479011914857
kodak,JPEG_AI,target_bpp=0.35,end_to_end,0.3550228542751736,30.6941655476888,0.9499327937761942,0.9695310145616531,0.17795662550876534,0.0748999714851379,0.9811569924155871,0.026325849001295823,0.5117073071499666,0.871157372991244,0.9607112134496371,0.22982455107072985,45.695478320027455,7123.984059625097
kodak,JPEG_AI,target_bpp=0.5,end_to_end,0.5077624850802952,32.17542084058126,0.9639233127236366,0.9775075962146124,0.13559583093350128,0.05580440163612361,0.9881516223152479,0.017209692140265014,0.5627827309072018,0.9083561773101488,0.9748552292585373,0.2054817446817954,56.089871870779945,7198.968607333275
kodak,JPEG_AI,target_bpp=0.75,end_to_end,0.7634574042426215,34.053568601608276,0.9764072000980377,0.9854432567954063,0.08904933944965399,0.03611714641253149,0.993358480433623,0.01008952243137168,0.6256006943682829,0.9437496612469355,0.9860952794551849,0.17711023303369677,66.74752338735065,7278.687270376395
kodak,JPEG_AI,target_bpp=1.0,end_to_end,1.00229983859592,35.36479512850443,0.9828957915306091,0.989566887418429,0.06201359140686686,0.025362640619277902,0.9957785854736964,0.006887392402859346,0.6710773271818956,0.9618534992138544,0.9915099069476128,0.15878748086591557,72.2855382985438,7225.0381889571145
kodak,JXL,d=12.0,end_to_end,0.23662482367621526,27.856993436813354,0.8574967831373215,0.9263729875286421,0.35311981787284213,0.14557878673076627,0.9349932670593262,0.08254687472557024,0.3995715876420339,0.7709027181069056,0.7929969082276026,0.3102957382798195,15.734131626907676,32.86736379178971
kodak,JXL,d=7.0,end_to_end,0.36864556206597227,29.713035186131794,0.9075932279229164,0.9527153670787811,0.246909260439376,0.10336009661356603,0.962980697552363,0.05214579682797188,0.4759743995964527,0.8455904101332029,0.8855109885334969,0.27380817445615924,37.44930216684033,33.7571415415141
kodak,JXL,d=3.0,end_to_end,0.7438464694552951,33.25706680615743,0.9608480234940847,0.9792889207601547,0.10461335924143589,0.041606843471527065,0.9881939838329951,0.017594319108563117,0.5899157375097275,0.9341449439525604,0.9749094496170679,0.20942480924228823,66.05550740200856,26.77507345830084
kodak,JXL,d=1.0,end_to_end,1.7024324205186634,37.89487107594808,0.9835749268531799,0.9915240953365961,0.0345139074294517,0.013470056156317342,0.997286985317866,0.0038667874080904625,0.778124230603377,0.9824782411257426,0.9954427257180214,0.1484632523109515,84.16145890522536,29.676395250097205
