file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
1-50454-A-44.wav,esc50,Opus,24.0,16.59,3.2783,2.3584,1.2217,33.27,OK
1-50455-A-44.wav,esc50,Opus,24.0,17.23,3.2989,2.5698,1.2011,33.46,OK
1-50623-A-15.wav,esc50,Opus,24.0,19.41,4.0221,3.4297,0.4779,36.57,OK
1-50625-A-17.wav,esc50,Opus,12.0,11.0,3.5306,4.2649,0.9694,36.13,OK
1-50661-A-44.wav,esc50,DAC,8.0,8.0,4.5213,1.5862,-0.0213,16.04,OK
1-50688-A-17.wav,esc50,Opus,24.0,22.2,3.8825,3.7349,0.6175,36.64,OK
1-51035-A-16.wav,esc50,Opus,24.0,20.77,4.0004,3.9583,0.4996,35.78,OK
1-51036-A-16.wav,esc50,Opus,24.0,21.15,3.8307,3.9784,0.6693,36.59,OK
1-51037-A-16.wav,esc50,Opus,12.0,11.18,1.0,4.2309,3.5,33.14,OK
1-51147-A-25.wav,esc50,Opus,24.0,18.65,3.4148,2.8717,1.0852,27.74,OK
1-51170-A-18.wav,esc50,Opus,24.0,23.06,4.004,2.2538,0.496,22.42,OK
1-51433-A-17.wav,esc50,Opus,24.0,22.84,3.9658,3.8203,0.5342,46.96,OK
1-51436-A-17.wav,esc50,Opus,12.0,12.03,3.2512,4.3994,1.2488,34.12,OK
1-51805-A-33.wav,esc50,DAC,8.0,8.0,3.7097,3.2491,0.7903,16.19,OK
1-51805-B-33.wav,esc50,DAC,8.0,8.0,3.7518,3.5006,0.7482,15.92,OK
1-51805-C-33.wav,esc50,DAC,8.0,8.0,3.8795,3.9367,0.6205,16.78,OK
1-51805-D-33.wav,esc50,DAC,8.0,8.0,3.7983,3.5013,0.7017,16.79,OK
1-51805-E-33.wav,esc50,Opus,24.0,23.52,3.5197,3.5494,0.9803,33.1,OK
1-51805-F-33.wav,esc50,DAC,8.0,8.0,4.2286,2.2228,0.2714,16.41,OK
1-51805-G-33.wav,esc50,DAC,8.0,8.0,4.2368,2.0992,0.2632,16.63,OK
1-51805-H-33.wav,esc50,Opus,12.0,11.51,3.1426,3.945,1.3574,34.51,OK
1-52266-A-24.wav,esc50,Opus,24.0,21.87,4.3267,2.1069,0.1733,23.87,OK
1-52290-A-30.wav,esc50,Opus,48.0,20.53,4.2932,1.1328,0.2068,16.82,OK
1-52323-A-24.wav,esc50,Opus,24.0,18.39,3.9957,1.9328,0.5043,19.67,OK
1-53444-A-28.wav,esc50,Opus,24.0,23.91,3.9307,2.9623,0.5693,34.85,OK
1-53467-A-47.wav,esc50,DAC,8.0,8.0,4.4608,1.4973,0.0392,17.61,OK
1-53501-A-32.wav,esc50,Opus,24.0,18.22,4.0961,3.2231,0.4039,35.35,OK
1-53663-A-24.wav,esc50,Opus,24.0,18.88,3.7071,2.4083,0.7929,20.95,OK
1-53670-A-18.wav,esc50,Opus,24.0,21.9,3.5595,3.2359,0.9405,35.66,OK
1-54065-A-45.wav,esc50,Opus,24.0,21.89,3.9479,3.0905,0.5521,35.7,OK
1-54065-B-45.wav,esc50,Opus,24.0,21.79,4.1271,3.1072,0.3729,35.45,OK
1-54084-A-42.wav,esc50,DAC,8.0,8.0,4.0772,6.333,0.4228,16.58,OK
1-54505-A-21.wav,esc50,Opus,24.0,16.68,4.2573,1.704,0.2427,34.52,OK
1-54747-A-46.wav,esc50,DAC,8.0,8.0,4.5447,1.856,-0.0447,16.99,OK
1-54752-A-18.wav,esc50,Opus,24.0,23.05,4.1447,2.7769,0.3553,36.17,OK
1-54918-A-14.wav,esc50,DAC,8.0,8.0,2.8375,3.6762,1.6625,16.19,OK
1-54918-B-14.wav,esc50,DAC,8.0,8.0,3.6481,2.9844,0.8519,17.33,OK
